hc,wc,length,Tamb,Q,Uin,PressurePaPressureProbe3
1,1.25,30,40,3132,7.75,451.27
1,1.25,30,-20,5040,7.75,450.19
1,1.25,30,0,5040,7.75,451.45
1,1.25,30,20,5040,7.75,453.76
1,1.25,30,-20,1272,10,635.39
1,1.25,30,20,1272,10,634.15
1,1.25,30,-20,3132,10,644.53
1,1.25,30,0,3132,10,643.08
1,1.25,30,20,3132,10,642.68
1,1.25,30,40,3132,10,643.28
1,1.25,30,-20,5040,10,652.7
1,1.25,30,0,5040,10,651.05
1,1.25,30,20,5040,10,650.41
1,1.25,30,40,5040,10,650.86
1,1.25,60,-20,1272,1,62.342
1,1.25,60,0,1272,1,65.621
1,1.25,60,20,1272,1,68.672
1,1.25,60,-20,3132,1,70.249
1,1.25,60,20,3132,1,77.219
1,1.25,60,40,3132,1,80.523
1,1.25,60,-20,5040,1,81.396
1,1.25,60,0,5040,1,85.172
1,1.25,60,20,5040,1,88.848
1,1.25,60,40,5040,1,92.415
1,1.25,60,0,1272,3.25,252.75
1,1.25,60,20,1272,3.25,261.73
1,1.25,60,40,1272,3.25,270.29
1,1.25,60,20,3132,3.25,267.21
1,1.25,60,40,3132,3.25,276.48
1,1.25,60,-20,5040,3.25,256.39
1,1.25,60,0,5040,3.25,265.27
1,1.25,60,40,5040,3.25,283.71
1,1.25,60,-20,1272,5.5,467.49
1,1.25,60,0,1272,5.5,478.82
1,1.25,60,40,1272,5.5,503.74
1,1.25,60,-20,3132,5.5,477.96
1,1.25,60,0,3132,5.5,489.98
1,1.25,60,20,3132,5.5,502.92
1,1.25,60,40,3132,5.5,515.71
1,1.25,60,-20,5040,5.5,488.27
1,1.25,60,20,5040,5.5,513.29
1,1.25,60,-20,1272,7.75,732.93
1,1.25,60,0,1272,7.75,745.03
1,1.25,60,20,1272,7.75,757.97
1,1.25,60,40,1272,7.75,771.66
1,1.25,60,-20,3132,7.75,748.96
1,1.25,60,0,3132,7.75,761.31
1,1.25,60,20,3132,7.75,774.76
1,1.25,60,-20,5040,7.75,762.96
1,1.25,60,-20,1272,10,1031.5
1,1.25,60,0,1272,10,1047
1,1.25,60,20,1272,10,1062
1,1.25,60,40,1272,10,1076.3
1,1.25,60,-20,3132,10,1054
1,1.25,60,0,3132,10,1069.2
1,1.25,60,40,3132,10,1097.8
1,1.25,60,-20,5040,10,1073.7
1,1.25,60,0,5040,10,1088.8
1,1.25,60,40,5040,10,1117.2
1,1.5,30,-20,1272,1,27.356
1,1.5,30,0,1272,1,28.617
1,1.5,30,20,1272,1,29.825
1,1.5,30,40,1272,1,30.984
1,1.5,30,-20,3132,1,28.781
1,1.5,30,20,3132,1,31.159
1,1.5,30,40,3132,1,32.342
1,1.5,30,-20,5040,1,31.412
1,1.5,30,0,5040,1,32.581
1,1.5,30,40,5040,1,34.944
1,1.5,30,-20,1272,3.25,121.98
1,1.5,30,20,1272,3.25,127.57
1,1.5,30,40,1272,3.25,130.42
1,1.5,30,-20,3132,3.25,122.68
1,1.5,30,0,3132,3.25,125.22
1,1.5,30,20,3132,3.25,127.94
1,1.5,30,40,3132,3.25,130.76
1,1.5,30,0,5040,3.25,126.7
1,1.5,30,40,5040,3.25,131.69
1,1.5,30,0,1272,5.5,250.44
1,1.5,30,-20,3132,5.5,251.54
1,1.5,30,0,3132,5.5,253.93
1,1.5,30,-20,5040,5.5,254.53
1,1.5,30,0,5040,5.5,256.94
1,1.5,30,20,5040,5.5,259.69
1,1.5,30,0,1272,7.75,405.54
1,1.5,30,-20,3132,7.75,411.33
1,1.5,30,20,3132,7.75,412.08
1,1.5,30,40,3132,7.75,413.82
1,1.5,30,-20,5040,7.75,416.06
1,1.5,30,0,5040,7.75,416.03
1,1.5,30,0,1272,10,588.47
1,1.5,30,20,1272,10,587.12
1,1.5,30,40,1272,10,586.42
1,1.5,30,-20,3132,10,599.31
1,1.5,30,0,3132,10,596.55
1,1.5,30,20,3132,10,595
1,1.5,30,40,3132,10,594.01
1,1.5,30,-20,5040,10,606.44
1,1.5,30,0,5040,10,603.56
1,1.5,30,20,5040,10,601.83
1,1.5,30,40,5040,10,600.67
1.25,0.5,30,0,1272,1,72.702
1.25,0.5,30,40,1272,1,78.429
