hc,wc,length,Tamb,Q,Uin,TemperaturedegCStackTemperatureProbe1
1.25,0.75,60,-20,3132,10,-12.775
1.25,0.75,60,0,3132,10,7.3614
1.25,0.75,60,20,3132,10,27.509
1.25,0.75,60,40,3132,10,47.671
1.25,0.75,60,40,5040,10,52.364
1.25,0.75,90,-20,1272,1,4.6104
1.25,0.75,90,0,1272,1,26.322
1.25,0.75,90,20,1272,1,48.047
1.25,0.75,90,40,1272,1,69.78
1.25,0.75,90,0,3132,1,64.725
1.25,0.75,90,20,3132,1,88.88
1.25,0.75,90,-20,5040,1,77.088
1.25,0.75,90,0,5040,1,103.67
1.25,0.75,90,20,5040,1,130.28
1.25,0.75,90,40,5040,1,156.91
1.25,0.75,90,40,1272,3.25,49.903
1.25,0.75,90,-20,3132,3.25,1.2165
1.25,0.75,90,0,3132,3.25,22.246
1.25,0.75,90,-20,5040,3.25,14.371
1.25,0.75,90,0,5040,3.25,35.981
1.25,0.75,90,40,5040,3.25,79.365
1.25,0.75,90,-20,1272,5.5,-14.371
1.25,0.75,90,0,1272,5.5,5.8664
1.25,0.75,90,20,1272,5.5,26.108
1.25,0.75,90,40,1272,5.5,46.355
1.25,0.75,90,0,3132,5.5,14.493
1.25,0.75,90,40,3132,5.5,55.66
1.25,0.75,90,40,5040,5.5,65.271
1.25,0.75,90,-20,1272,7.75,-15.615
1.25,0.75,90,0,1272,7.75,4.5422
1.25,0.75,90,20,1272,7.75,24.695
1.25,0.75,90,40,1272,7.75,44.857
1.25,0.75,90,0,3132,7.75,11.191
1.25,0.75,90,20,3132,7.75,31.562
1.25,0.75,90,40,3132,7.75,51.954
1.25,0.75,90,0,5040,7.75,18.06
1.25,0.75,90,20,5040,7.75,38.646
1.25,0.75,90,40,5040,7.75,59.265
1.25,0.75,90,-20,1272,10,-16.311
1.25,0.75,90,0,1272,10,3.7956
1.25,0.75,90,20,1272,10,23.906
1.25,0.75,90,40,1272,10,44.025
1.25,0.75,90,0,3132,10,9.3371
1.25,0.75,90,20,3132,10,29.607
1.25,0.75,90,40,3132,10,49.894
1.25,0.75,90,-20,5040,10,-5.3694
1.25,0.75,90,0,5040,10,15.037
1.25,0.75,90,20,5040,10,35.467
1.25,0.75,90,40,5040,10,55.922
1.25,1,30,-20,1272,1,-9.0131
1.25,1,30,20,1272,1,31.919
1.25,1,30,40,1272,1,52.433
1.25,1,30,0,3132,1,28.628
1.25,1,30,20,3132,1,49.798
1.25,1,30,-20,5040,1,24.205
1.25,1,30,0,5040,1,46.021
1.25,1,30,20,5040,1,67.934
1.25,1,30,-20,1272,3.25,-15.321
1.25,1,30,0,1272,3.25,4.7532
1.25,1,30,40,1272,3.25,44.93
1.25,1,30,0,3132,3.25,12.129
1.25,1,30,20,3132,3.25,32.303
1.25,1,30,40,3132,3.25,52.494
1.25,1,30,-20,5040,3.25,-0.35126
1.25,1,30,0,5040,3.25,19.928
1.25,1,30,20,5040,3.25,40.215
1.25,1,30,40,5040,3.25,60.52
1.25,1,30,-20,1272,5.5,-16.561
1.25,1,30,0,1272,5.5,3.47
1.25,1,30,40,1272,5.5,43.547
1.25,1,30,-20,3132,5.5,-11.373
1.25,1,30,0,3132,5.5,8.7051
1.25,1,30,20,3132,5.5,28.79
1.25,1,30,40,3132,5.5,48.882
1.25,1,30,-20,5040,5.5,-5.8894
1.25,1,30,0,5040,5.5,14.249
1.25,1,30,40,5040,5.5,54.54
1.25,1,30,-20,1272,7.75,-17.119
1.25,1,30,0,1272,7.75,2.8952
1.25,1,30,20,1272,7.75,22.913
1.25,1,30,40,1272,7.75,42.934
